SKU,imageUrl,Gen. Color 0,Matches for 0,Gen. Color 1,Matches for 1,Gen. Color 2,Matches for 2,Gen. Color 3,Matches for 3,Gen. Color 4,Matches for 4
1004977,http://www.surlatable.com/images/customers/c1079/PRO-1004977/generated/PRO-1004977_Default_1_430x430.jpg,,#c05a5c,Red,#b03d42,Red,#c35054,Red,#c44b50,Red,#ca7f80,
1005313,http://www.surlatable.com/images/customers/c1079/PRO-1005313/generated/PRO-1005313_Default_1_430x430.jpg,,#9ea7ab,,#c9b9a3,,#b8ab9a,,#baaa94,,#bdb1a0,
1005321,http://www.surlatable.com/images/customers/c1079/PRO-1005321/generated/PRO-1005321_Default_2_430x430.jpg,,#b13645,Red,#b9404f,Red,#b82d3b,Red,#bc303e,Red,#ab4751,Red
1005339,http://www.surlatable.com/images/customers/c1079/PRO-1005339/generated/PRO-1005339_Default_1_430x430.jpg,,#7a7068,,#636f7d,,#857763,,#999d88,,#896c65,
1005347,http://www.surlatable.com/images/customers/c1079/PRO-1005347/generated/PRO-1005347_Default_2_430x430.jpg,,#a85954,,#c33845,Red,#b5333f,Red,#907f74,,#a46a52,
1005354,http://www.surlatable.com/images/customers/c1079/PRO-1005354/generated/PRO-1005354_Default_2_430x430.jpg,,#757368,,#746f66,,#655b56,,#5c585b,,#7c6a61,
1005362,http://www.surlatable.com/images/customers/c1079/PRO-1005362/generated/PRO-1005362_Default_1_430x430.jpg,,#bcd5b2,,#c38182,,#e0ccc5,,#e394a5,,#b71e39,
1005370,http://www.surlatable.com/images/customers/c1079/PRO-1005370/generated/PRO-1005370_Default_1_430x430.jpg,,#756e61,,#5b5c6b,,#6d6160,,#46586f,,#746456,
1005412,http://www.surlatable.com/images/customers/c1079/PRO-1005412/generated/PRO-1005412_Default_1_430x430.jpg,,#fcfcfb,,#b5b1a3,,#a69373,,#c3bdae,,#a9a190,
1005834,http://www.surlatable.com/images/customers/c1079/PRO-1005834/generated/PRO-1005834_Default_2_430x430.jpg,,#5b5a5b,,#d1d3d8,,#979797,,#d0d0d1,,#525153,
1005859,http://www.surlatable.com/images/customers/c1079/PRO-1005859/generated/PRO-1005859_Default_1_430x430.jpg,,#c59e6f,,#b89577,,#cbb698,,#a07c62,,#b98164,
1005891,http://www.surlatable.com/images/customers/c1079/PRO-1005891/generated/PRO-1005891_Default_1_430x430.jpg,,#442827,,#895952,,#a48d80,,#b0997a,,#c3af9c,
1006,http://www.surlatable.com/images/customers/c1079/PRO-1006/generated/PRO-1006_Default_1_430x430.jpg,,#888174,,#807868,,#827b6d,,#686257,,#8a8376,
1006154,http://www.surlatable.com/images/customers/c1079/PRO-1006154/generated/PRO-1006154_Default_2_430x430.jpg,,#e9bab7,,#e8d0cf,,#d5a09c,,#fcfbfa,,#ffffff,
